Disease,Symptoms,Department,Quick Action
Hypertension,"Headache, dizziness, chest pain, nosebleeds, blurred vision, fatigue, high BP readings, shortness of breath, pounding in chest/ears, swollen ankles, irregular heartbeat, red face, flushing, tinnitus",Cardiology,"Check BP, reduce salt, consult cardiologist"
Epilepsy,"Seizures, sudden collapse, confusion, body jerks, staring spells, loss of awareness, muscle twitching, clenched jaw, foaming at mouth, memory blackout, sudden fear, eye rolling, incontinence, aura, tongue biting",Neurology,"Ensure safety, do not restrict movement, consult neurologist"
Fracture,"Intense pain, swelling, bruising, deformity, inability to move limb, bone cracking sound, visible bone shift, pain on pressure, numbness, joint stiffness, blue skin, tenderness, limited weight-bearing",Orthopedics,"Immobilize area, apply ice, go for X-ray"
Pneumonia,"Fever, chills, productive cough, chest pain, shortness of breath, fatigue, rapid breathing, bluish lips, low O₂, sweating, muscle aches, loss of appetite, wheezing",Pediatrics,"Warm fluids, monitor fever/respiration, see pediatrician"
Sinusitis,"Facial pain, nasal congestion, thick mucus, headache, loss of smell, post-nasal drip, pain around eyes/nose, forehead heaviness, jaw pain, ear fullness, bad breath, dry cough, toothache",ENT,"Steam inhalation, saline spray, ENT visit"
Eczema,"Dry, itchy skin, red patches, blisters, crusting, thickened skin, burning, cracking, flaking, bumps, weeping fluid, night itch, rash in joints, bleeding, hyperpigmentation",Dermatology,"Moisturize, avoid allergens/irritants, consult dermatologist"
Appendicitis,"RLQ pain, nausea, vomiting, appetite loss, fever, bloating, worsening with hip movement, guarding, rebound tenderness, constipation/diarrhea, back pain, tenderness, urgent care",General Surgery,"No food/drink, emergency surgical consult"
Depression,"Persistent sadness, fatigue, sleep disturbance, anhedonia, poor focus, appetite change, guilt, withdrawal, crying spells, suicidal ideation, body aches, irritability, negative ruminations, hopelessness, slowed speech",Psychiatry,"Ensure support, encourage talk therapy, consult psychiatrist"
Cataract,"Cloudy vision, glare, poor night vision, faded colors, double vision, light halos, frequent prescription change, blurred reading vision, difficulty with contrast, monocular diplopia",Ophthalmology,"Use brighter lighting, wear UV protection, consult ophthalmologist"
PCOS,"Irregular periods, acne, weight gain, hair loss, facial hair, mood swings, fertility issues, oily skin, acanthosis nigricans, lower abdominal pain, scalp thinning, tiredness, insulin resistance",Gynecology,"Balanced diet, exercise, hormone check, see gynecologist"
Kidney Stones,"Severe flank/abdominal pain, nausea, vomiting, dysuria, hematuria, frequent urination, cramps, urinary urgency, urinary retention, groin ache, cloudy urine, diaphoresis",Urology,"Hydrate heavily, pain relief, imaging (US/CT), consult urologist"
Typhoid,"High sustained fever, weakness, headache, appetite loss, diarrhea/constipation, rash (rose spots), bradycardia, abdominal cramps, chills, dry mouth, altered taste, weight loss",General Medicine,"Rest, light diet, blood tests, consult physician"
Dental Caries,"Toothache, holes, sensitivity to sweet/hot/cold, bad breath, gum swelling, chewing pain, black spots, bleeding gums, jaw discomfort, food trapping, face swelling",Dental,"Rinse mouth, avoid sweets, see dentist"
Finger Injury/Cut,"Finger cut, bleeding, open wound, sharp object injury, pain, visible trauma, minor fracture risk, tendon involvement signs, reduced mobility, swelling, risk of infection",General Surgery,"Clean wound, apply pressure, dress/stitch, tetanus check"
Hand Burn,"Hand burn, red blistering, peeling, pain, swelling, blister rupture signs, charred skin, numbness, functional impairment risk",General Surgery,"Cool with running water, cover non-stick dressing, seek surgical care if deep"
Leg Injury/Swelling,"Leg pain, swelling, bruising, difficulty walking, twisted injury, limp, cramps, angiogenesis risk, warmth/redness, varicose discomfort",Orthopedics,"Rest, ice, compression, elevation, see orthopedic"
Chest Pain (Non-Cardiac),"Mild chest tightness, muscle soreness with movement, sharp pain on breathing, costochondritis sign, local tenderness, no radiation or diaphoresis",General Medicine,"Rest, monitor, consult physician to rule out cardiac causes"
Eye Redness/Irritation,"Red itchy eyes, burning, watering, foreign body sensation, blurred vision, photophobia, eyelid swelling, discharge, allergic conjunctivitis signs",Ophthalmology,"Rinse with clean water, avoid rubbing, allergy drops, see ophthalmologist"
